step,total,recon,kl
1,12303.8320,12303.8184,0.0136
100,2094.2600,2086.1406,8.1194
200,2231.4060,2228.4009,3.0051
300,2377.2085,2376.9573,0.2513
400,2079.8528,2079.8315,0.0213
500,2064.6260,2064.6130,0.0130
600,2232.6838,2232.6787,0.0052
700,2144.9436,2144.9419,0.0016
800,2261.6445,2261.5723,0.0722
900,2210.7866,2210.7844,0.0023
1000,2283.6191,2283.6169,0.0021
1100,1956.0623,1956.0607,0.0016
1200,2099.2051,2099.1260,0.0790
1300,2190.6519,2190.6289,0.0229
1400,2154.8804,2154.8721,0.0084
1500,2301.6680,2301.4336,0.2343
1600,1965.4250,1964.4156,1.0094
1700,712.2938,679.2983,32.9955
1800,519.3289,489.2530,30.0759
1900,530.5150,499.4908,31.0241
2000,447.1532,419.4469,27.7063
2100,451.6957,423.2188,28.4770
2200,496.8082,468.7347,28.0734
2300,391.0863,364.6217,26.4646
2400,455.4025,427.6671,27.7354
2500,389.7371,364.6663,25.0708
