step,total,mse_per_pixel,holdout_total
1,8187.0254,0.251331,8114.7017
500,375.5394,0.106503,385.8148
1000,358.2093,0.097495,360.2053
1500,422.5930,0.091068,336.5418
2000,306.7626,0.083321,323.4681
2500,267.7765,0.075068,312.2523
3000,348.9352,0.078316,305.1968
3500,309.7139,0.081274,299.4461
4000,183.8382,0.070553,293.8243
4500,273.4564,0.076131,287.4982
5000,234.1617,0.069156,283.6107
5500,244.1243,0.070862,281.4402
6000,260.0701,0.069091,278.5723
6500,274.0871,0.068071,277.8236
7000,244.0850,0.070188,276.2847
7500,206.4591,0.067977,274.3121
8000,193.6491,0.064977,272.3365
8500,259.1349,0.066737,270.8967
9000,184.9545,0.068686,270.7935
9500,236.0480,0.062483,271.0682
10000,233.6225,0.067745,271.2576
10500,198.7748,0.061539,270.9478
11000,294.6134,0.072718,272.2079
11500,217.6588,0.060395,272.2021
12000,210.9813,0.066102,273.8076
12500,182.8240,0.060911,273.3127
13000,173.5984,0.062299,274.5044
13500,234.4049,0.064748,274.8341
14000,230.5961,0.058222,275.1640
14500,172.7093,0.058588,276.1995
15000,224.3632,0.062831,276.1492
15500,151.2305,0.056549,277.6048
16000,201.1174,0.060071,278.4088
16500,193.4361,0.060092,278.7083
17000,202.7794,0.061689,279.7230
17500,204.6360,0.062315,280.9761
18000,181.3176,0.056005,282.4296
18500,193.0035,0.060949,282.5558
19000,161.5390,0.059061,281.4490
19500,203.0753,0.058053,282.3074
20000,247.2222,0.060988,282.7728
