step,total,recon,kl
1,11341.9971,11341.9629,0.0340
200,2075.0732,2066.5830,8.4903
400,1990.2538,1987.2766,2.9772
600,2155.7188,2154.3623,1.3566
800,2184.4326,2183.9294,0.5031
1000,2190.0254,2189.8613,0.1642
1200,1221.5658,1190.0999,31.4660
1400,853.3304,826.0892,27.2412
1600,840.4572,811.9515,28.5057
1800,758.2380,731.4660,26.7720
2000,757.1139,730.3500,26.7639
2200,757.9451,731.8373,26.1078
2400,605.8170,580.4460,25.3711
2600,709.3699,682.5643,26.8057
2800,641.8093,615.7980,26.0113
3000,475.5776,449.7321,25.8455
3200,457.0643,430.2258,26.8385
3400,414.7983,387.7227,27.0757
3600,405.3534,377.7823,27.5710
3800,414.0671,387.8346,26.2325
4000,427.4876,400.1835,27.3041
4200,401.8081,374.5459,27.2622
4400,427.4803,400.2742,27.2061
4600,381.0386,354.3969,26.6417
4800,393.3601,365.2215,28.1387
5000,335.6286,308.6459,26.9827
5200,362.2061,333.1938,29.0123
5400,368.2896,339.1184,29.1712
5600,363.2325,333.8462,29.3863
5800,313.7797,286.0401,27.7395
6000,306.9572,278.5159,28.4414
6200,330.8449,302.4359,28.4090
6400,317.2758,288.0615,29.2143
6600,314.0258,284.7042,29.3216
6800,309.0783,280.0842,28.9941
7000,306.9528,277.0281,29.9247
7200,295.4414,265.7925,29.6489
7400,313.8170,283.7865,30.0306
7600,282.8014,253.2769,29.5244
7800,283.9948,254.4425,29.5523
8000,314.9600,285.5866,29.3734
8200,271.3539,241.3980,29.9559
8400,282.5253,252.7888,29.7364
8600,261.7102,232.0246,29.6856
8800,279.8076,250.1060,29.7016
9000,309.3610,279.4229,29.9381
9200,274.9275,244.6263,30.3012
9400,279.2268,250.3032,28.9236
9600,303.2161,272.8264,30.3897
9800,280.3095,249.7055,30.6041
10000,274.3594,244.1988,30.1606
10200,285.8006,255.7128,30.0878
10400,243.1051,213.7123,29.3928
10600,247.9622,217.5979,30.3643
10800,292.6003,262.6945,29.9058
11000,282.7287,253.2417,29.4870
11200,272.0614,242.9173,29.1442
11400,276.2314,246.0325,30.1989
11600,273.0765,242.8556,30.2209
11800,254.3311,225.1687,29.1625
12000,269.6558,239.6987,29.9571
12200,263.8810,234.7252,29.1558
12400,290.6115,260.3862,30.2252
12600,287.8971,258.2242,29.6729
12800,250.5447,220.8105,29.7342
13000,270.2616,240.5096,29.7520
13200,251.6954,221.8577,29.8377
13400,262.9595,232.9368,30.0227
13600,264.6447,233.9985,30.6461
13800,267.1663,237.3516,29.8147
14000,276.0358,245.6655,30.3703
14200,238.6985,208.3046,30.3939
14400,235.5712,205.7228,29.8483
14600,298.4597,267.8748,30.5849
14800,255.9027,225.7625,30.1402
15000,254.7796,224.2905,30.4891
15200,232.5724,202.7905,29.7819
15400,240.8597,210.7841,30.0756
15600,281.4910,249.8159,31.6751
15800,236.4196,205.8135,30.6062
16000,249.9208,219.0453,30.8755
16200,239.7860,208.9802,30.8058
16400,264.4455,233.5519,30.8936
16600,248.9794,218.9594,30.0199
16800,249.4626,219.2400,30.2227
17000,241.5726,210.8164,30.7562
17200,211.1861,180.3294,30.8567
17400,265.8976,233.7109,32.1867
17600,226.8936,196.3055,30.5881
17800,234.8185,203.0255,31.7930
18000,230.0599,199.3238,30.7361
18200,215.4821,185.2482,30.2339
18400,255.3830,224.3816,31.0014
18600,241.0577,209.8260,31.2317
18800,227.6095,197.3895,30.2200
19000,213.3317,182.3987,30.9330
19200,208.0608,177.1778,30.8830
19400,227.3049,196.0740,31.2310
19600,207.6148,176.8618,30.7530
19800,261.1195,230.1738,30.9457
20000,221.4518,190.0109,31.4409
