step,total,mse_per_pixel,holdout_total
1,8213.2979,0.252133,8153.7041
500,381.9631,0.100486,328.1134
1000,365.1314,0.093229,306.8579
1500,334.2357,0.085047,291.7287
2000,324.4293,0.076597,276.3855
2500,278.4751,0.073917,268.1642
3000,214.7171,0.077390,262.6855
3500,316.8485,0.078470,260.1833
4000,314.4265,0.075035,258.3432
4500,275.5639,0.075006,255.2402
5000,288.4682,0.073993,252.0120
5500,301.2646,0.070473,247.5070
6000,258.5000,0.067337,244.1888
6500,249.0047,0.070665,241.2900
7000,322.3148,0.071149,238.7099
7500,204.0241,0.063197,237.1012
8000,217.5615,0.065914,235.4263
8500,250.4297,0.065661,233.6094
9000,260.6559,0.069332,232.4570
9500,195.3328,0.058154,231.7752
10000,215.3169,0.062450,230.8620
10500,269.8919,0.067383,230.2835
11000,196.9985,0.065478,229.9125
11500,195.7354,0.060607,229.6855
12000,191.8166,0.064498,229.5138
12500,220.8061,0.059049,230.2069
13000,199.1611,0.054994,230.3536
13500,203.9447,0.061064,230.3170
14000,257.1349,0.063602,230.5020
14500,284.3297,0.065480,230.2496
15000,196.5605,0.052451,230.6645
15500,186.7231,0.058965,230.5035
16000,207.1319,0.061613,230.8127
16500,238.2204,0.063921,230.6426
17000,206.6593,0.060400,230.3916
17500,211.2811,0.058978,230.8637
18000,220.3294,0.064822,230.8399
18500,171.5467,0.058065,231.3515
19000,172.1512,0.059733,231.3753
19500,186.9807,0.061455,231.7164
20000,212.4374,0.059665,231.8735
