step,total,mse_per_pixel,holdout_total
1,2025.4624,0.248948,2002.0385
200,97.5097,0.108307,110.6600
400,104.8187,0.110009,108.4627
600,94.8886,0.109054,108.0919
800,112.3822,0.108556,107.5215
1000,64.2752,0.094109,97.6135
1200,99.6434,0.089579,93.9455
1400,69.8044,0.082608,93.0229
1600,77.8012,0.085649,90.8673
1800,53.2571,0.076752,88.8448
2000,88.7553,0.076029,87.7531
2200,61.8501,0.076305,86.9745
2400,92.2283,0.078181,85.7615
2600,103.6386,0.077843,84.4415
2800,86.0613,0.073685,82.8410
3000,64.2169,0.071662,80.4614
3200,52.7507,0.066776,78.3194
3400,70.5350,0.064661,75.6040
3600,50.5324,0.061467,73.4653
3800,42.5912,0.058546,71.2661
4000,58.7008,0.055832,69.7441
4200,40.5074,0.056054,67.9278
4400,48.1534,0.055008,66.1184
4600,67.1841,0.058816,64.7199
4800,66.2420,0.057772,63.6953
5000,58.3889,0.055621,62.4980
5200,53.3336,0.053363,61.2618
5400,44.0633,0.049647,60.2093
5600,53.8892,0.050480,59.4153
5800,45.4719,0.051086,59.0450
6000,41.3546,0.051340,58.8375
